true_item_id,query
460520,Will animals like dogs ever be able to talk?
370043,Why are there different varieties of Turf and what are the used for?
408069,What happened to the Lost colony of Roanoke?
371052,What s the difference between a concept and an idea?
108358,What does it mean if caffeine makes you sleepy?
381724,What is best online business loan company?
471328,Are billionaires happier than the average person?
412041,What is preferably in this 21st century as working wife or homely wife?
464044,What are the most useful apps on Google play store?
346895,From where I can purchase food organic store item in india?
99065,What should I do if my WhatsApp account has been hacked?
21054,What is the most popular question and what is the most popular answer on Quora?
459255,Which has been the saddest death in Game of Thrones?
172781,Are North Koreans aware that the world outside is so different?
447778,Am I the only one that thinks Mike Pence is good looking?
358091,How to report a license plate?
321628,Why did the SpaceX AMOS-6 launcher suffer a static fire anomaly resulting in loss of the vehicle and payload?
504850,How do you get someone to love you back?
441395,How can you miss RSorder Drop Party with free RS gold and $10K cash coupons?
291296,What is happiness?
282143,If Donald Trump proposed a single payer health care system to fix Obamacare would republicans pass it?
473774,What hygienic and safety concerns one keep in mind while travelling in Nepal?
514557,How is the life of on IAS officer in naxalite area?
517150,How did people came to know that the Big Bang occurred nearly 13 billion years ago?
189175,What are Superman s prime powers?
228405,What does it feel like to work for a startup?
319227,I was a top online poker player prior to Black Friday. I had 7+ figures seized from me. Now I am 30 a college drop out and broke. What should I do?
20712,In a distance relationship. What is the best surprise gift I can give to my girlfriend on her birthday?
475488,I just turned 21 and I m tired of being fat. How do I lose weight relatively quickly?
422513,How do I learn to be more apathetic?
328160,How do I download all videos for free from Lynda?
7712,What would happen to British empire and its effect on whole Asia if Indian people had succeeded in their Mutiny 1857 to secure independence?
3891,How do you become a military pilot?
211393,What are some of the benefits of homeschooling?
92482,What can I do to keep myself awake and energized throughout the day?
134515,Do people still hate Justin Bieber in 2016?
478990,What is an air superiority fighter and how is it different from a multirole fighter?
273900,Which country easily give residential visa to Indians?
277990,How close are researchers to finding a cure for diabetes?
68140,How can I be motivated every single minute?
99258,How much should someone make to live comfortably in Manhattan?
474428,What cause ear popping when chewing?
534420,How good is the book  Networking & Algorithms for Computer Games  by Jouni Smed & Harri Hakonen?
399152,How can you lose 10 pounds in 40 days?
334565,What is the best method or algorithm to predict time based values based on historical data?
229661,What are predators of Komodo dragons? How do they defend themselves?
496062,Will there be a fifth Indiana Jones movie?
251829,What color goes well with cobalt blue?
248101,How are police trained to handle high-speed chases?
158806,What are the best ways to make seaweed jelly?
282137,Am I the only one who thinks Rajnikant is overrated?
529370,What is the weightage of topics in chemistry physics and math for the IIT JEE?
459537,How much does the reputation of a news source really matter?
208277,Why is talking to girl in public versus not in public different?
154473,How can I get rid of gynecomastia permanently?
381752,Will Bollywood ever compete with Hollywood in content?
25364,How can I turn 13 million into a billion over 10 years?
446982,What is the best WordPress calendar plugin?
33994,What are the advantages and disadvantages of the GST Bill?
27965,How does it feel to meet your gf in long distance relationship?
510281,Why are chess championships separated by gender?
157042,How do I find myself a job?
483098,Are smartphones a boon or bane?
99167,How can one make a simple flying helicopter?
393210,I am weak in math can I become a software engineer?
56425,How do you help a new employee understand the culture of your organization?
27273,How did the Roman Catholic Church respond to the Protestant Reformation?
361774,Do the colors of pigments in a leaf correlate with the color of the leaf?
162093,How can be LIC useful for an electrical student?
296054,How can MSG the warrior Lion Heart get 9.8 on IMDB with over 3K votes?
269563,What do I do if my dog swallowed a bone?
358454,Should person know swimming to do scuba diving?
508281,How do you leave the man you are madly in love with?
450456,What will David Cameron do after he relinquishes his job as Prime Minister?
24338,How can I reduce hairfall?
66457,How are dry ice burns treated?
451250,Who is your favourite non-fiction author?
68983,I have a problem with my Mobile Uploads album on Facebook. The number shows that I have 1 pic in my album but in reality it s empty. How can I fix it?
167760,Will Trump Will Be Impeached?
78823,What went wrong with the Columbia Space Shuttle? What exactly happened?
467708,Is doing a PhD in Singapore worth it?
61046,Why is Hearsay not permitted as evidence in court?
524942,What is the difference between astronomy astrophysics and cosmology?
242887,Which is the best law colleges in Maharashtra?
283360,What are the laws of thermodynamics?
264352,How much time does Deloitte generally takes to get back after interview?
356967,Can you join the Marines with a misdemeanor?
161128,What s the most scariest encounter/story you ve had on the dark web?
396925,When is rationality dangerous?
319799,What is a good business I can start with a low budget and low resources?
246592,How can one make an OS of any kind?
447837,What are the health benefits of a paleo diet?
226646,How can I write a program that input five words then display it on the screen?
287569,Which is the best book for physical chemistry?
60387,What s the best way to get in shape with swimming?
300757,How can one become a genius in physics?
148456,How many Jews were murdered during the Holocaust?
30326,What is SSL certificate?
28664,What is the right time to have sex for pregnancy?
323984,What is the oldest city in the world?
529811,How do I synchronise application with server?
127776,Can I run a half marathon in 2 weeks with shin splints?
170849,How can you make someone think something was their own idea?
423775,What is ground?
133363,How do I make job portal website?
423781,What are some of the chemical properties of the isotopes?
282207,How will India s economy change by 2020?
386162,What are the best books for SSC MTS?
360015,What can I do repeatedly for the next 30 days that can impact my life positively?
291135,What is the solution for this QuickBooks Error 12031?
104649,What are some of the best countries in the world for students to study in?
64132,What is it like to live in Egypt today?
261444,Are tachyons real?
119369,What is the hardest branch of theoretical physics and why?
478769,After marrying and while applying for a Green Card can I stay and work in the US?
391816,How do I get best thing out of waste?
242824,What is the one thing you wish you were good at?
470172,Does light travel through space forever?
514067,What is the easiest way to learn life skills?
406100,What are some good diets to do?
34820,How are bacteria beneficial to humans?
137339,What are advantges and disadvantages of having casual sex?
267019,Can I rent my room on AirBnB with F1 visa on OPT?
196619,How are oceans formed?
333821,Is there any ways to check JIO Coverage?
512753,What is the best source to learn c#?
332139,What is a master s degree?
363994,Why would Ivanka Trump fly coach Jet Blue without a security detail? Why take the risk?
376989,How do I change my bio on Periscope?
246055,What are some strategies for getting into MIT?
319118,What are the prevailing attitudes toward homosexuality in India?
529589,Can you start your own country?
356719,How do I prepare for any government jobs?
373246,Are national polls of the US presidential race pretty much meaningless?
503152,What is Placement of MCA from MANIT JAMSHEDPUR in 2015-2016?
513235,What is your biggest insecurity?
245253,Where can I find a best place for Reiki in Sydney?
29361,Do you prefer a fit or skinny female figure?
6785,How can I be a charismatic person?
24659,What conspiracy theory do you believe?
136085,What is a best gaming laptop below $700?
273372,What is the best way to store tea?
356162,What are the best things to learn in 10 days?
344214,How do you set up voicemail on an iPhone?
379294,How did Barack Obama learn to communicate?
54594,Does writing on Quora help improve communication and grammatical skills?
473295,What are the best British television shows?
70057,How come egg yolks have different colors in different countries?
499287,Is Quora biased towards the Democratic Party?
399637,How can I prevent SQL injection in my site?
45596,What are some good Mikhail Bulgakov works to start with?
129629,What was your most embarrassing moment during your school life?
377304,What should someone do if they want to survive a school shooting?
472861,What are some good places to enjoy sunrise in Hyderabad?
441073,What is a niche market?
244648,How do you recover a deleted Google account?
438641,What equipment crew is needed for a low budget film?
356194,How can someone be so heartless?
319411,Who are the Quora Moderators?
57238,How do I book a tatkal ticket for sure?
358397,Do you think racism still exists in our society today?
159607,Which is the best and worst commercial ad being shown in Indian TV Channels?
70195,What is the possibility of a zombie apocalypse occurring on our planet?
22454,How many types of meditation are there?
73876,How can I get unblocked on Instagram?
472616,What is the difference between cream and paste?
39013,What do have to know before travelling to China?
397624,How do I stop being such a racist?
133559,Why does coffee make me sleepy instead of active?
385618,Is blood donation good to health?
17791,How can I make at least 1000 dollars online in a month?
142274,Do all the religions lead to God?
158619,What are Bayesian models?
102808,How much time would it take to learn a new language?
193769,Why can the people of the USA only see aliens and not the rest of the world?
443813,When an object falls into a black hole where does it go?
297072,How does ConfirmTKT predict the PNR status?
342131,What does it mean when a girl take a day to reply to your text?
288958,Is it safe to drink packaged milk without boiling it?
68884,Difference between fear and intution?
135028,What is the best cpc ad network?
139024,My mother has GBM Grade 4 (brain cancer) & had surgery 3 weeks ago & was advised to undergo radiation and chemo is there any alternative treatment available? Tnx
140220,How dangerous are the Yakuza?
181060,How do I make friends in Bangalore?
480161,Which is the most useful article spinner?
182840,What is the best way of starting a buisness?
422505,How do I prepare for SSC Junior engineer (mechanical)?
32628,Where does Hillary Clinton stand on the Trans Pacific Partnership?
200096,What is the exact and main reason behind Bermuda Triangle?
329906,What do radio station call letters mean?
275340,What are the applications of eigen values?
262439,Does petroleum jelly help eyelashes grow?
393010,Where is the best place to shop in Rochester MN?
316045,Which is you favorite sex position?
75300,Which is the Best country to migrate from India and start a new life?
167996,Is it true that through the WhatsApp viewer you can check who visited your profile?
164902,What was the reason for the neolithic revolution?
212721,Have you ever had a lucid dream? If you what was it like?
501533,What are the best and worst TV commercials seen these days on Indian national channels?
499017,Do you think the UK Parliament should vote about invoking article 50?
259545,Are there any Latin-speaking countries? If not what was the last country to speak primarily Latin?
269776,Physiologically what makes orgasms feel so good?
59128,Do you believe in the law of attraction? Why or why not?
399649,Can someone translate this Kannada text to English/Hindi?
33149,What is corporate banking?
474063,What are the advantages of the arbitrage pricing theory?
532623,How does one enter the presence of God?
177592,How do I get rid of electoral college?
316215,Have you ever almost died because you were doing something stupid?
88913,Why is human cloning considered unethical?
18547,Who was the man that killed the most people in human history?
115828,Which is more reactive double bond or triple and why?
465438,Why is the TPP so controversial?
456360,What was India like when the first British arrived?
402703,Is it true if you think of someone they were thinking about you first?
410381,What are some examples of abiotic and biotic interactions in nature?
371877,What is the best way to get a software engineering job?
59635,How do I start a startup if I have an idea ?
40743,How is the value of Indian rupee relative to US dollar calculated?
485545,What do we exchange biologically during sex?
100847,How do I live without love?
269891,Does carnotaurus have slitted eyes pupils too or doesn t?
427152,Does donating blood help you lose weight?
203247,In palmistry for female which hand is dominant?
509001,What are the facts about YouTube?
253999,What causes empathy?
54767,How do I get rid of a girl?
46799,What is the true definition of democracy?
410456,What are the best ways to utilize my Linkedin Premium Account?
362009,How many years does it take to become a CA?
404697,What is the best way to understand computer networks?
387189,Will Donald Trump shut down the internet?
331409,What are the best laptops available for online purchase under 30 000INR in India?
398008,Why is it important to have an opinion for something?
54586,Does it hurt to get stitches removed?
181053,What is naturally available nootropics?
84008,What do the different IQ scores mean?
50238,What are molecular ionic compounds? What are some examples?
180997,What is the best way to confess something?
349514,How is college life like?
519404,Why do some Americans refer to the United Kingdom as  England ?
220765,How do I fall out of love with someone that I m forced to see every day?
188534,Where do you think is the best place in the world to live?
395130,Is there something wrong with me if I don t find my wife physically attractive anymore?
335369,How are Effigen diet pills useful for weight loss? Are they harmful for our organism?
337745,What qualities does an investor look for in a startup or the CEO before agreeing to potentially invest?
371540,What and where would documents and data be on an iPhone?
467568,Which sunscreen is the best and why?
405690,Do you agree with the present education system of india? If not how do you want to change it? If yes then share your views
57062,What are the lessons that life taught you?
98167,Which is better Beatles vs Rolling Stones?
428796,What is the difference between population deviation and population standard deviation?
530819,What does it feel to be Batman?
437670,How do I escape from tigers?
331325,What do you think about first head transplant surgery?
6343,What are crop tops?
34911,Why do you love being a programmer?
57011,Why website is important for your business?
321757,Why is some inflation healthy for the economy?
50174,Why is the waste plastic pyrolysis plant so popular?
196253,What is the precipitation?
165431,What is architectural engineering? What is the difference between architecture and architectural engineering? Which course should be taken in college in order to be an architectural engineer?
518777,Why does Quora is not so strict in the way of writing questions like in the case of Stack Overflow?
49051,What should girls know by age of 16?
285608,How do I get paid on Quora?
386432,What are the risks of eating expired eggs?
495130,What is a network server?
47207,How much should a person sleep?
475445,Is history becoming more or less biased?
413661,What should I prepare for CFA?
212041,What exactly is sex?
77631,Why do I crave so much attention?
415695,How could I get paid for traveling?
278141,How is cow urine said to be good for health?
44192,Which is your favorite book from the Bible and why?
426625,How was the bear attack scene made in the movie The Revenant?
491870,What is the best and highest paying affiliate program?
134807,How can you determine the molarity of concentrated nitric acid?
354521,How does a marketing company get promotional products/items?
192286,Which residential college to choose in the University of Western Australia?
112397,What are the relations between Iranian and Indian mythology?
37923,How do I make an Android app of a website?
34166,Why did Jennifer Aniston go braless in many episodes of FRIENDS? Was it just a personal choice or a character demand?
407315,Why should I study mathematics?
183222,What is load bearing structure?
